# packs/dict/en-compounds.tsv
# English compound word splits for TGSpeechBox text parser.
#
# Format: compound<TAB>half1 half2
#
# Splits derived from CMU Pronouncing Dictionary entries cross-referenced
# with parsed linguistic data. Curated and supplemented by the TGSpeechBox
# community. Add missing compounds as needed.
#
# Used by the text parser to phonemize compound halves independently,
# preserving vowel quality that eSpeak's compound reduction destroys.
acetylcholine	acetyl choline
afterburner	after burner
afterburners	after burners
aftereffect	after effect
aftereffects	after effects
afterglow	after glow
afterglows	after glows
afterimage	after image
afterimages	after images
afterlife	after life
afterlives	after lives
aftermath	after math
aftermaths	after maths
afternoon	after noon
afternoons	after noons
aftershock	after shock
aftershocks	after shocks
aftertaste	after taste
aftertastes	after tastes
afterthought	after thought
afterthoughts	after thoughts
airbus	air bus
aircraft	air craft
aircrew	air crew
airdrop	air drop
airdrops	air drops
airfare	air fare
airfares	air fares
airfield	air field
airfields	air fields
airflow	air flow
airfoil	air foil
airfoils	air foils
airforce	air force
airframe	air frame
airframes	air frames
airhead	air head
airlift	air lift
airlifts	air lifts
airline	air line
airliner	air liner
airliners	air liners
airlines	air lines
airlock	air lock
airlocks	air locks
airmail	air mail
airman	air man
airmen	air men
airplane	air plane
airplanes	air planes
airport	air port
airports	air ports
airship	air ship
airships	air ships
airspace	air space
airspeed	air speed
airstrip	airs trip
airstrips	airs trips
airwave	air wave
airwaves	air waves
airway	air way
airways	air ways
airworthiness	air worthiness
alderman	alder man
aldermen	alder men
alehouse	ale house
alewife	ale wife
alewives	ale wives
alleyway	alley way
alleyways	alley ways
allspice	all spice
altarpiece	altar piece
anchorman	anchor man
anchormen	anchor men
angelfish	angel fish
anklebone	ankle bone
anteater	ant eater
anteaters	ant eaters
anthill	ant hill
anthills	ant hills
applesauce	apple sauce
aqualung	aqua lung
archway	arch way
armband	arm band
armbands	arm bands
armchair	arm chair
armchairs	arm chairs
armpit	arm pit
armpits	arm pits
armrest	arm rest
armrests	arm rests
aromatherapy	aroma therapy
arrowhead	arrow head
arrowheads	arrow heads
arrowroot	arrow root
arrowsmith	arrow smith
arsehole	arse hole
artwork	art work
artworks	art works
ashtray	ash tray
ashtrays	ash trays
assemblyman	assembly man
assemblymen	assembly men
assemblywoman	assembly woman
asshole	ass hole
automaker	auto maker
automakers	auto makers
babysitter	baby sitter
babysitters	baby sitters
babysitting	babysit ting
backache	back ache
backaches	back aches
backbeat	back beat
backboard	back board
backboards	back boards
backbone	back bone
backbones	back bones
backdoor	back door
backdrop	back drop
backdrops	back drops
backfield	back field
backfields	back fields
backfire	back fire
backfires	back fires
backgammon	back gammon
background	back ground
backgrounds	back grounds
backhand	back hand
backhoe	back hoe
backhoes	back hoes
backlash	back lash
backlashes	back lashes
backlog	back log
backlogs	back logs
backpack	back pack
backpacker	back packer
backpacking	back packing
backpacks	back packs
backrest	back rest
backrests	back rests
backroom	back room
backrooms	back rooms
backsaw	back saw
backseat	back seat
backseats	back seats
backside	back side
backsides	back sides
backsliding	back sliding
backspin	back spin
backstage	back stage
backstairs	back stairs
backstitch	backs titch
backstop	backs top
backstroke	back stroke
backwash	back wash
backwater	back water
backwaters	back waters
backwoods	back woods
backwoodsman	back woodsman
backyard	back yard
backyards	back yards
badlands	bad lands
bagman	bag man
bagpipe	bag pipe
bagpiper	bag piper
bagpipes	bag pipes
ballcock	ball cock
ballcocks	ball cocks
ballgame	ball game
ballpark	ball park
ballparks	ball parks
ballplayer	ball player
ballplayers	ball players
ballpoint	ball point
ballpoints	ball points
ballroom	ball room
ballrooms	ball rooms
bandleader	band leader
bandleaders	band leaders
bandstand	band stand
bandwagon	band wagon
bandwidth	band width
bankbook	bank book
banknote	bank note
banknotes	bank notes
bankroll	bank roll
bankrolls	bank rolls
barbell	barb ell
barbells	barb ells
barbershop	barber shop
barman	bar man
barnyard	barn yard
barroom	bar room
bartender	bar tender
bartenders	bar tenders
baseball	base ball
baseballs	base balls
baseboard	base board
baseboards	base boards
baseline	base line
baselines	base lines
basketball	basket ball
basketballs	basket balls
basketmaker	basket maker
bathrobe	bath robe
bathrobes	bath robes
bathroom	bath room
bathrooms	bath rooms
bathtub	bath tub
bathtubs	bath tubs
batman	bat man
battlefield	battle field
battlefields	battle fields
battlefront	battle front
battleground	battle ground
battlegrounds	battle grounds
battleship	battle ship
battleships	battle ships
beachball	beach ball
beachcomber	beach comber
beachcombers	beach combers
beachfront	beach front
beachhead	beach head
beachheads	beach heads
beadwork	bead work
beanbag	bean bag
bedbug	bed bug
bedbugs	bed bugs
bedchamber	bed chamber
bedfellow	bed fellow
bedfellows	bed fellows
bedpan	bed pan
bedpans	bed pans
bedpost	bed post
bedrock	bed rock
bedroll	bed roll
bedroom	bed room
bedrooms	bed rooms
bedside	bed side
bedspread	bed spread
bedstraw	bed straw
bedtime	bed time
beechwood	beech wood
beefeater	beef eater
beefsteak	beefs teak
beehive	bee hive
beekeeper	bee keeper
beekeepers	bee keepers
beekeeping	bee keeping
beeswax	bees wax
bellboy	bell boy
bellflower	bell flower
bellhop	bell hop
bellhops	bell hops
bellman	bell man
bellwether	bell wether
bellyache	belly ache
beltway	belt way
benchmark	bench mark
benchmarks	bench marks
bestseller	best seller
bestsellers	best sellers
bighorn	big horn
bighorns	big horns
bigwig	big wig
bigwigs	big wigs
billboard	bill board
billboards	bill boards
billfold	bill fold
birdbath	bird bath
birdbrain	bird brain
birdcage	bird cage
birdfeeder	bird feeder
birdhouse	bird house
birdhouses	bird houses
birdseed	bird seed
birdsong	bird song
birthday	birth day
birthdays	birth days
birthmark	birth mark
birthmarks	birth marks
birthplace	birth place
birthplaces	birth places
birthrate	birth rate
birthrates	birth rates
birthright	birth right
birthrights	birth rights
bitterroot	bitter root
bittersweet	bitter sweet
blackball	black ball
blackberries	black berries
blackberry	black berry
blackbird	black bird
blackbirds	black birds
blackboard	black board
blackboards	black boards
blackjack	black jack
blacklist	black list
blackmail	black mail
blackout	black out
blackouts	black outs
blacksmith	black smith
blackthorn	black thorn
blacktop	black top
blackwood	black wood
blastoff	blast off
blindfold	blind fold
blockbuster	block buster
blockbusters	block busters
blockhead	block head
blockheads	block heads
blockhouse	block house
blockhouses	block houses
bloodbath	blood bath
bloodhound	blood hound
bloodhounds	blood hounds
bloodletting	blood letting
bloodline	blood line
bloodlines	blood lines
bloodshed	blood shed
bloodstain	blood stain
bloodstains	blood stains
bloodstone	bloods tone
bloodstream	blood stream
bloodsucker	blood sucker
bloodsuckers	blood suckers
blowfish	blow fish
blowgun	blow gun
blowguns	blow guns
blowhard	blow hard
blowhole	blow hole
blowholes	blow holes
blowjob	blow job
blowout	blow out
blowouts	blow outs
blowpipe	blow pipe
blowpipes	blow pipes
blowtorch	blow torch
blowtorches	blow torches
bluebell	blue bell
bluebells	blue bells
blueberries	blue berries
blueberry	blue berry
bluebird	blue bird
bluebirds	blue birds
bluebonnet	blue bonnet
bluebonnets	blue bonnets
bluebottle	blue bottle
bluebottles	blue bottles
bluegrass	blue grass
bluejacket	blue jacket
blueprint	blue print
blueprints	blue prints
bluestone	blues tone
boardinghouse	boarding house
boardinghouses	boarding houses
boardroom	board room
boardrooms	board rooms
boardwalk	board walk
boardwalks	board walks
boathouse	boat house
boatload	boat load
boatloads	boat loads
boatman	boat man
boatyard	boat yard
bobcat	bob cat
bobcats	bob cats
bobsled	bob sled
bodyguard	body guard
bodyguards	body guards
bodywork	body work
bogeyman	bogey man
bogeymen	bogey men
boilerplate	boiler plate
boldface	bold face
bombshell	bomb shell
bombshells	bomb shells
bondholder	bond holder
bondholders	bond holders
bookbinder	book binder
bookbinders	book binders
bookcase	book case
bookcases	book cases
bookend	book end
bookends	book ends
bookkeeper	book keeper
bookkeepers	book keepers
bookkeeping	book keeping
bookmaker	book maker
bookmakers	book makers
bookman	book man
bookmark	book mark
bookmarks	book marks
bookmobile	book mobile
bookmobiles	book mobiles
bookseller	book seller
booksellers	book sellers
bookshelf	book shelf
bookshelves	book shelves
bookshop	book shop
bookshops	book shops
bookstore	books tore
bookstores	book stores
bookworm	book worm
bootleg	boot leg
bootlegging	boot legging
bootlegs	boot legs
bootstrap	boots trap
