# TGSpeechBox en-us pronunciation dictionary
# Format: from_text	to_text	from_ipa	to_ipa	category
Chantal	shontall			proper
Proulx	proo			proper
Tucson	toosahn			place
behemoth	behheemuth			noun
chitin	kaiten			noun
dectalk	decktawk			proper
fediverse	feddeverse			portmanteau
headaches	headaiks			noun
huawei	wahway		h w ˈɑː w eɪ	proper
immanentize	imminentize			verb
knievel	kneevel		k ᵊ n ˈiː v ə l	proper
libra	leebra			astrology
monster	mahnster			noun
mueller	muller			proper
olivine	oliveen			noun
pentagon	pentigone			place
popeyes	poppeyes			proper
resurrection	rezzereckshun			noun
schitt's	shitts			proper
secondary	secondairy			adjective
tulip	toolip			noun
werewolf	weerwolf			fictional
winget	win get			proper
